wl,k
0.3053,0.00043
0.3163,0.00044
0.3291,0.00066
0.3427,0.00089
0.3546,0.00111
0.3690,0.00133
0.3826,0.00156
0.3953,0.00178
0.4081,0.00222
0.4251,0.00266
0.4437,0.00331
0.4633,0.00397
0.4879,0.00463
0.5125,0.00551
0.5329,0.00660
0.5516,0.00769
0.5686,0.00856
0.5881,0.00987
0.6059,0.01117
0.6229,0.01248
0.6416,0.01400
0.6611,0.01552
0.6781,0.01725
0.6960,0.01921
0.7138,0.02137
0.7282,0.02311
0.7427,0.02484
0.7597,0.02766
0.7732,0.02961
0.7826,0.03112
0.7962,0.03329
0.8089,0.03567
0.8200,0.03783
0.8318,0.04043
0.8488,0.04389
0.8675,0.04800
0.8820,0.05125
0.8938,0.05449
0.9083,0.05817
0.9219,0.06206
0.9380,0.06617
0.9507,0.07028
0.9609,0.07352
0.9745,0.07763
0.9881,0.08174
0.9992,0.08563
1.0144,0.09039
1.0280,0.09493
1.0433,0.10033
1.0577,0.10552
1.0705,0.10984
1.0849,0.11481
1.0977,0.11935
